name,meal_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,category,n_observations,source,food_id,protein_density,fiber_density,protein_frac,carb_frac,fat_frac
Lomo Saltado (1.5 cups),dinner,500.0,35.0,45.0,22.0,5.0,6.0,1100.0,90.0,Meal/Meat,1,Kaggle Daily Food & Nutrition,lomo_saltado_1_5_cups__dinner,7.000000000000001,1.0,0.2702702702702703,0.3474903474903475,0.38223938223938225
Mackerel (3oz cooked),dinner,175.0,16.0,0.0,12.0,0.0,0.0,75.0,65.0,Protein/Fish,1,Kaggle Daily Food & Nutrition,mackerel_3oz_cooked__dinner,9.142857142857142,0.0,0.37209302325581395,0.0,0.627906976744186
Manicotti (2 shells cheese),dinner,380.0,20.0,35.0,18.0,4.0,7.0,650.0,60.0,Meal/Pasta,1,Kaggle Daily Food & Nutrition,manicotti_2_shells_cheese__dinner,5.263157894736842,1.0526315789473684,0.2094240837696335,0.36649214659685864,0.42408376963350786
Mashed Cauliflower (1 cup),dinner,140.0,5.0,12.0,8.0,5.0,4.0,400.0,25.0,Vegetable,1,Kaggle Daily Food & Nutrition,mashed_cauliflower_1_cup__dinner,3.571428571428571,3.571428571428571,0.14285714285714285,0.34285714285714286,0.5142857142857142
Mashed Potatoes (1 cup),dinner,230.0,4.0,35.0,8.0,3.0,2.0,350.0,15.0,Vegetable,2,Kaggle Daily Food & Nutrition,mashed_potatoes_1_cup__dinner,1.7391304347826086,1.3043478260869565,0.07017543859649122,0.6140350877192983,0.3157894736842105
Mashed Potatoes (side),dinner,150.0,3.0,25.0,4.0,2.0,2.0,300.0,10.0,Vegetable,1,Kaggle Daily Food & Nutrition,mashed_potatoes_side__dinner,2.0,1.3333333333333335,0.08108108108108109,0.6756756756756757,0.24324324324324326
Mayonnaise (1 tbsp for dipping),dinner,90.0,0.1,0.1,10.0,0.0,0.1,70.0,5.0,Condiment,1,Kaggle Daily Food & Nutrition,mayonnaise_1_tbsp_for_dipping__dinner,0.1111111111111111,0.0,0.004405286343612335,0.004405286343612335,0.9911894273127754
Melted Butter (for lobster),dinner,200.0,0.2,0.0,22.0,0.0,0.0,164.0,60.0,Condiment,1,Kaggle Daily Food & Nutrition,melted_butter_for_lobster__dinner,0.1,0.0,0.004024144869215292,0.0,0.9959758551307847
Mozzarella (1 oz melted),dinner,80.0,6.0,1.0,6.0,0.0,0.5,150.0,20.0,Dairy,1,Kaggle Daily Food & Nutrition,mozzarella_1_oz_melted__dinner,7.5,0.0,0.2926829268292683,0.04878048780487805,0.6585365853658537
Mussels (3oz steamed),dinner,146.0,20.0,6.0,4.0,0.0,0.0,310.0,48.0,Protein/Seafood,1,Kaggle Daily Food & Nutrition,mussels_3oz_steamed__dinner,13.698630136986301,0.0,0.5714285714285714,0.17142857142857143,0.2571428571428571
Naan Bread (1 piece),dinner,260.0,8.0,45.0,5.0,2.0,3.0,450.0,10.0,Grain,1,Kaggle Daily Food & Nutrition,naan_bread_1_piece__dinner,3.076923076923077,0.7692307692307693,0.1245136186770428,0.7003891050583657,0.17509727626459143
Olive Oil (1 tbsp drizzle),dinner,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,olive_oil_1_tbsp_drizzle__dinner,0.0,0.0,0.0,0.0,1.0
Olive Oil (1 tbsp),dinner,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,olive_oil_1_tbsp__dinner,0.0,0.0,0.0,0.0,1.0
Onion (1/2 cup raw chopped),dinner,32.0,0.9,7.5,0.1,1.4,3.8,3.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,onion_1_2_cup_raw_chopped__dinner,2.8125,4.375,0.10434782608695653,0.8695652173913043,0.026086956521739132
Orange Sauce (1/4 cup for duck),dinner,90.0,0.5,22.0,0.0,0.5,20.0,200.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,orange_sauce_1_4_cup_for_duck__dinner,0.5555555555555556,0.5555555555555556,0.022222222222222223,0.9777777777777777,0.0
Osso Buco (1 serving),dinner,550.0,45.0,15.0,30.0,4.0,6.0,900.0,150.0,Meal/Meat,1,Kaggle Daily Food & Nutrition,osso_buco_1_serving__dinner,8.181818181818182,0.7272727272727273,0.35294117647058826,0.11764705882352941,0.5294117647058824
Pad Thai (Chicken 1.5 cups),dinner,550.0,25.0,60.0,22.0,5.0,10.0,950.0,70.0,Meal/Pasta,1,Kaggle Daily Food & Nutrition,pad_thai_chicken_1_5_cups__dinner,4.545454545454546,0.9090909090909091,0.18587360594795538,0.44609665427509293,0.3680297397769517
Paella (1.5 cups seafood),dinner,550.0,30.0,70.0,18.0,6.0,5.0,1200.0,110.0,Meal/Rice,1,Kaggle Daily Food & Nutrition,paella_1_5_cups_seafood__dinner,5.454545454545454,1.090909090909091,0.21352313167259787,0.498220640569395,0.28825622775800713
Pancetta (0.5 oz in sauce),dinner,45.0,1.5,0.0,4.5,0.0,0.0,160.0,10.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,pancetta_0_5_oz_in_sauce__dinner,3.3333333333333335,0.0,0.12903225806451613,0.0,0.8709677419354839
Parmigiano-Reggiano (1 tbsp),dinner,22.0,2.0,0.2,1.5,0.0,0.0,95.0,4.0,Dairy,2,Kaggle Daily Food & Nutrition,parmigiano_reggiano_1_tbsp__dinner,9.090909090909092,0.0,0.35874439461883406,0.03587443946188341,0.6053811659192825
Pate (Mushroom 2 tbsp),dinner,70.0,1.0,2.0,7.0,1.0,1.0,100.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,pate_mushroom_2_tbsp__dinner,1.4285714285714286,1.4285714285714286,0.05333333333333334,0.10666666666666667,0.84
Peanut Sauce (2 tbsp),dinner,80.0,2.0,4.0,6.0,1.0,3.0,250.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,peanut_sauce_2_tbsp__dinner,2.5,1.25,0.10256410256410256,0.20512820512820512,0.6923076923076923
Pecorino Cheese (1 tbsp),dinner,25.0,1.5,0.1,2.0,0.0,0.0,110.0,6.0,Dairy,1,Kaggle Daily Food & Nutrition,pecorino_cheese_1_tbsp__dinner,6.0,0.0,0.24590163934426232,0.01639344262295082,0.7377049180327869
Pecorino Romano (1/4 cup),dinner,110.0,7.5,1.0,8.5,0.0,0.0,450.0,25.0,Dairy,1,Kaggle Daily Food & Nutrition,pecorino_romano_1_4_cup__dinner,6.8181818181818175,0.0,0.27149321266968324,0.03619909502262444,0.6923076923076923
Pesto (1/4 cup),dinner,290.0,5.0,4.0,29.0,2.0,1.0,600.0,5.0,Condiment,1,Kaggle Daily Food & Nutrition,pesto_1_4_cup__dinner,1.7241379310344827,0.6896551724137931,0.06734006734006734,0.05387205387205387,0.8787878787878788
Pesto Sauce (1/4 cup),dinner,260.0,5.0,4.0,26.0,2.0,1.0,550.0,5.0,Condiment,1,Kaggle Daily Food & Nutrition,pesto_sauce_1_4_cup__dinner,1.9230769230769231,0.7692307692307693,0.07407407407407407,0.05925925925925926,0.8666666666666667
Pine Nuts (1 tbsp in pesto),dinner,95.0,2.0,2.0,10.0,0.5,0.5,0.0,0.0,Nut,1,Kaggle Daily Food & Nutrition,pine_nuts_1_tbsp_in_pesto__dinner,2.1052631578947367,0.5263157894736842,0.07547169811320754,0.07547169811320754,0.8490566037735849
Pine Nuts (1 tbsp),dinner,95.0,2.0,2.0,10.0,0.5,0.5,0.0,0.0,Nut,1,Kaggle Daily Food & Nutrition,pine_nuts_1_tbsp__dinner,2.1052631578947367,0.5263157894736842,0.07547169811320754,0.07547169811320754,0.8490566037735849
Pine Nuts (1/2 tbsp),dinner,48.0,1.0,1.0,5.0,0.2,0.2,0.0,0.0,Nut,1,Kaggle Daily Food & Nutrition,pine_nuts_1_2_tbsp__dinner,2.083333333333333,0.4166666666666667,0.07547169811320754,0.07547169811320754,0.8490566037735849
Pita Bread (White 1 large),dinner,220.0,7.0,45.0,2.0,2.0,2.0,440.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,pita_bread_white_1_large__dinner,3.1818181818181817,0.9090909090909091,0.12389380530973451,0.7964601769911505,0.07964601769911504
Pittu with Fish Curry,dinner,590.0,28.0,80.0,18.0,5.0,2.0,690.0,55.0,Sri Lankan - Steamed Rice Flour,1,"Curated regional (Sri Lankan, per serving)",pittu_with_fish_curry__dinner,4.745762711864407,0.847457627118644,0.18855218855218855,0.5387205387205387,0.2727272727272727
Pizza (1 slice pepperoni),dinner,290.0,12.0,34.0,12.0,2.0,4.0,720.0,35.0,Meal/Processed,1,Kaggle Daily Food & Nutrition,pizza_1_slice_pepperoni__dinner,4.137931034482759,0.6896551724137931,0.1643835616438356,0.4657534246575342,0.3698630136986301
Pizza (Margherita 1 slice),dinner,250.0,12.0,30.0,10.0,3.0,4.0,600.0,25.0,Meal/Processed,1,Kaggle Daily Food & Nutrition,pizza_margherita_1_slice__dinner,4.8,1.2,0.18604651162790697,0.46511627906976744,0.3488372093023256
Polenta (1 cup creamy),dinner,150.0,3.0,32.0,1.0,3.0,1.0,350.0,5.0,Meal/Grain,1,Kaggle Daily Food & Nutrition,polenta_1_cup_creamy__dinner,2.0,2.0,0.08053691275167785,0.8590604026845637,0.06040268456375839
Polenta (grilled 1 slice),dinner,120.0,2.5,25.0,1.0,2.0,0.5,300.0,0.0,Meal/Grain,1,Kaggle Daily Food & Nutrition,polenta_grilled_1_slice__dinner,2.083333333333333,1.6666666666666667,0.08403361344537816,0.8403361344537815,0.07563025210084033
Pork Belly (1 oz in soup),dinner,145.0,3.0,0.0,15.0,0.0,0.0,150.0,20.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,pork_belly_1_oz_in_soup__dinner,2.0689655172413794,0.0,0.08163265306122448,0.0,0.9183673469387755
Pork Chop (4oz grilled),dinner,220.0,30.0,0.0,10.0,0.0,0.0,70.0,85.0,Protein/Meat,2,Kaggle Daily Food & Nutrition,pork_chop_4oz_grilled__dinner,13.636363636363635,0.0,0.5714285714285714,0.0,0.42857142857142855
Potato (1/2 w/ pasta),dinner,65.0,1.0,15.0,0.1,1.0,0.5,3.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,potato_1_2_w_pasta__dinner,1.5384615384615385,1.5384615384615385,0.06163328197226502,0.9244992295839752,0.013867488443759629
Prawn Curry (No Rice),dinner,230.0,27.0,8.0,10.0,2.0,2.0,620.0,185.0,Sri Lankan - Curry,1,"Curated regional (Sri Lankan, per serving)",prawn_curry_no_rice__dinner,11.73913043478261,0.8695652173913043,0.46956521739130436,0.1391304347826087,0.391304347826087
Prosciutto (1 slice wrapper),dinner,35.0,4.0,0.0,2.5,0.0,0.0,280.0,10.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,prosciutto_1_slice_wrapper__dinner,11.428571428571429,0.0,0.4155844155844156,0.0,0.5844155844155844
Prosciutto (1 slice),dinner,35.0,4.0,0.0,2.5,0.0,0.0,280.0,10.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,prosciutto_1_slice__dinner,11.428571428571429,0.0,0.4155844155844156,0.0,0.5844155844155844
Provoleta (1 oz grilled cheese),dinner,100.0,7.0,1.0,8.0,0.0,0.5,250.0,20.0,Dairy,1,Kaggle Daily Food & Nutrition,provoleta_1_oz_grilled_cheese__dinner,7.000000000000001,0.0,0.2692307692307692,0.038461538461538464,0.6923076923076923
Puff Pastry (1 oz wrapper),dinner,115.0,1.5,9.0,8.0,0.5,0.0,100.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,puff_pastry_1_oz_wrapper__dinner,1.3043478260869565,0.43478260869565216,0.05263157894736842,0.3157894736842105,0.631578947368421
Quinoa (1 cup cooked),dinner,222.0,8.0,39.0,3.6,5.0,1.0,13.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,quinoa_1_cup_cooked__dinner,3.6036036036036037,2.2522522522522523,0.14519056261343014,0.7078039927404719,0.147005444646098
Raisins (1 tbsp),dinner,27.0,0.3,7.0,0.0,0.3,6.0,1.0,0.0,Fruit,1,Kaggle Daily Food & Nutrition,raisins_1_tbsp__dinner,1.1111111111111112,1.1111111111111112,0.0410958904109589,0.9589041095890412,0.0
Raita (2 tbsp),dinner,30.0,1.0,2.0,2.0,0.5,1.5,100.0,5.0,Condiment/Dairy,1,Kaggle Daily Food & Nutrition,raita_2_tbsp__dinner,3.3333333333333335,1.6666666666666667,0.13333333333333333,0.26666666666666666,0.6
Red Cabbage (1 cup raw),dinner,22.0,1.1,5.2,0.1,1.6,2.8,8.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,red_cabbage_1_cup_raw__dinner,5.0,7.272727272727273,0.1685823754789272,0.7969348659003831,0.034482758620689655
Red Wine (5 oz glass),dinner,125.0,0.1,3.8,0.0,0.0,0.9,6.0,0.0,Beverage,1,Kaggle Daily Food & Nutrition,red_wine_5_oz_glass__dinner,0.08,0.0,0.025641025641025644,0.9743589743589743,0.0
Refried Beans (1/2 cup),dinner,115.0,7.0,19.0,1.0,6.0,1.0,480.0,0.0,Legume,2,Kaggle Daily Food & Nutrition,refried_beans_1_2_cup__dinner,6.086956521739131,5.217391304347826,0.24778761061946902,0.672566371681416,0.07964601769911504
"Restaurant, Chinese, sweet and sour pork",dinner,260.0,8.88,25.5,13.6,1.0,0.0,304.0,24.0,USDA,1,USDA FoodData Central (per 100 g),restaurant_chinese_sweet_and_sour_pork__dinner,3.415384615384616,0.38461538461538464,0.13665743305632502,0.39242843951985223,0.47091412742382266
"Restaurant, Latino, tamale, pork",dinner,174.0,7.38,15.8,9.04,2.4,0.0,473.0,20.0,USDA,1,USDA FoodData Central (per 100 g),restaurant_latino_tamale_pork__dinner,4.241379310344827,1.3793103448275863,0.16957720588235295,0.36305147058823534,0.46737132352941174
Ribollita (1.5 cups soup),dinner,350.0,15.0,55.0,8.0,14.0,10.0,900.0,5.0,Meal/Soup,1,Kaggle Daily Food & Nutrition,ribollita_1_5_cups_soup__dinner,4.285714285714286,4.0,0.17045454545454544,0.625,0.20454545454545456
Rice with Egg Curry,dinner,550.0,20.0,82.0,16.0,4.0,3.0,650.0,372.0,Sri Lankan - Rice & Curry,1,"Curated regional (Sri Lankan, per serving)",rice_with_egg_curry__dinner,3.6363636363636362,0.7272727272727273,0.14492753623188406,0.5942028985507246,0.2608695652173913
Rice with Prawn Curry,dinner,610.0,33.0,82.0,16.0,4.0,3.0,820.0,190.0,Sri Lankan - Rice & Curry,1,"Curated regional (Sri Lankan, per serving)",rice_with_prawn_curry__dinner,5.409836065573771,0.6557377049180327,0.2185430463576159,0.543046357615894,0.23841059602649006
Ricotta Cheese (1/4 cup),dinner,85.0,5.5,2.5,6.0,0.0,1.0,50.0,24.0,Dairy,1,Kaggle Daily Food & Nutrition,ricotta_cheese_1_4_cup__dinner,6.470588235294119,0.0,0.2558139534883721,0.11627906976744186,0.627906976744186
Risotto (Mushroom 1 cup),dinner,250.0,7.0,35.0,9.0,3.0,3.0,600.0,20.0,Meal/Grain,1,Kaggle Daily Food & Nutrition,risotto_mushroom_1_cup__dinner,2.8000000000000003,1.2,0.11244979919678715,0.5622489959839357,0.3253012048192771
Risotto alla Milanese (1 cup),dinner,350.0,10.0,50.0,12.0,3.0,3.0,700.0,30.0,Meal/Rice,1,Kaggle Daily Food & Nutrition,risotto_alla_milanese_1_cup__dinner,2.857142857142857,0.8571428571428572,0.11494252873563218,0.5747126436781609,0.3103448275862069
Sake (3 oz),dinner,117.0,0.4,3.8,0.0,0.0,0.0,4.0,0.0,Beverage,1,Kaggle Daily Food & Nutrition,sake_3_oz__dinner,0.3418803418803419,0.0,0.09523809523809523,0.9047619047619047,0.0
Salmon (4oz grilled),dinner,230.0,25.0,0.0,14.0,0.0,0.0,60.0,60.0,Protein/Fish,1,Kaggle Daily Food & Nutrition,salmon_4oz_grilled__dinner,10.869565217391305,0.0,0.4424778761061947,0.0,0.5575221238938053
Saltimbocca (1 serving),dinner,380.0,38.0,5.0,22.0,0.5,1.0,850.0,120.0,Meal/Meat,1,Kaggle Daily Food & Nutrition,saltimbocca_1_serving__dinner,10.0,0.13157894736842105,0.41081081081081083,0.05405405405405406,0.5351351351351351
Scallops (3oz seared),dinner,95.0,17.0,5.0,1.0,0.0,0.0,180.0,35.0,Protein/Seafood,1,Kaggle Daily Food & Nutrition,scallops_3oz_seared__dinner,17.894736842105264,0.0,0.7010309278350515,0.20618556701030927,0.09278350515463918
"Seeds, sunflower seed kernels, dry roasted, with salt added",dinner,612.0,21.0,17.1,56.1,10.3,0.0,532.0,0.0,USDA,1,USDA FoodData Central (per 100 g),seeds_sunflower_seed_kernels_dry_roasted_with_salt_added__dinner,3.431372549019608,1.6830065359477127,0.12779552715654952,0.10406207211319032,0.7681424007302601
Seitan (3oz),dinner,90.0,18.0,4.0,1.0,1.0,1.0,300.0,0.0,Protein/Vegetarian,1,Kaggle Daily Food & Nutrition,seitan_3oz__dinner,20.0,1.1111111111111112,0.7422680412371134,0.16494845360824742,0.09278350515463918
Sesame Oil (1 tsp),dinner,40.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,sesame_oil_1_tsp__dinner,0.0,0.0,0.0,0.0,1.0
Shepherd's Pie (1 serving),dinner,400.0,20.0,35.0,20.0,6.0,7.0,850.0,55.0,Meal/Meat,1,Kaggle Daily Food & Nutrition,shepherd_s_pie_1_serving__dinner,5.0,1.5,0.2,0.35,0.45
Shish Tawook (2 skewers),dinner,300.0,35.0,5.0,16.0,1.0,2.0,600.0,100.0,Meal/Meat,1,Kaggle Daily Food & Nutrition,shish_tawook_2_skewers__dinner,11.666666666666666,0.33333333333333337,0.4605263157894737,0.06578947368421052,0.47368421052631576
Shredded Cheese (Cheddar 1/4 cup),dinner,115.0,7.0,1.0,9.5,0.0,0.5,180.0,30.0,Dairy,1,Kaggle Daily Food & Nutrition,shredded_cheese_cheddar_1_4_cup__dinner,6.086956521739131,0.0,0.23829787234042554,0.03404255319148936,0.7276595744680852
Shrimp (3oz steamed),dinner,84.0,20.0,0.2,0.2,0.0,0.0,100.0,161.0,Protein/Fish,1,Kaggle Daily Food & Nutrition,shrimp_3oz_steamed__dinner,23.809523809523807,0.0,0.9685230024213076,0.009685230024213076,0.02179176755447942
Shrimp Scampi (1 cup),dinner,380.0,22.0,40.0,15.0,3.0,3.0,750.0,140.0,Meal/Seafood,1,Kaggle Daily Food & Nutrition,shrimp_scampi_1_cup__dinner,5.7894736842105265,0.7894736842105263,0.2297650130548303,0.4177545691906005,0.3524804177545692
Side Salad (light dressing),dinner,70.0,2.0,8.0,4.0,3.0,3.0,150.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,side_salad_light_dressing__dinner,2.857142857142857,4.285714285714286,0.10526315789473684,0.42105263157894735,0.47368421052631576
Silken Tofu (3oz in soup),dinner,45.0,5.0,2.0,2.5,0.5,1.0,5.0,0.0,Protein/Vegetarian,1,Kaggle Daily Food & Nutrition,silken_tofu_3oz_in_soup__dinner,11.11111111111111,1.1111111111111112,0.39603960396039606,0.15841584158415842,0.44554455445544555
Skirt Steak (4oz grilled),dinner,240.0,26.0,0.0,15.0,0.0,0.0,70.0,80.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,skirt_steak_4oz_grilled__dinner,10.833333333333334,0.0,0.4351464435146444,0.0,0.5648535564853556
Sour Cream (2 tbsp),dinner,60.0,0.8,1.3,5.8,0.0,0.8,25.0,12.0,Condiment/Dairy,1,Kaggle Daily Food & Nutrition,sour_cream_2_tbsp__dinner,1.3333333333333335,0.0,0.05280528052805281,0.08580858085808582,0.8613861386138614
Spaghetti (side),dinner,100.0,3.5,21.0,0.5,1.0,0.5,0.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,spaghetti_side__dinner,3.5000000000000004,1.0,0.13658536585365855,0.8195121951219512,0.04390243902439024
Spaghetti Bolognese,dinner,460.0,20.0,55.0,18.0,6.0,10.0,700.0,50.0,Meal/Pasta,1,Kaggle Daily Food & Nutrition,spaghetti_bolognese__dinner,4.3478260869565215,1.3043478260869565,0.17316017316017315,0.47619047619047616,0.35064935064935066
Spring Roll (Veg 2 rolls),dinner,180.0,4.0,25.0,7.0,3.0,3.0,450.0,0.0,Snack/Processed,1,Kaggle Daily Food & Nutrition,spring_roll_veg_2_rolls__dinner,2.2222222222222223,1.6666666666666667,0.0893854748603352,0.5586592178770949,0.35195530726256985
Stale Bread (1/2 cup in soup),dinner,80.0,3.0,15.0,1.0,1.0,1.5,160.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,stale_bread_1_2_cup_in_soup__dinner,3.75,1.25,0.14814814814814814,0.7407407407407407,0.1111111111111111
Steamed Broccoli (1 cup),dinner,55.0,3.7,11.2,0.6,5.1,2.0,40.0,0.0,Vegetable,1,Kaggle Daily Food & Nutrition,steamed_broccoli_1_cup__dinner,6.7272727272727275,9.272727272727273,0.2276923076923077,0.6892307692307692,0.08307692307692306
String Hoppers with Chicken Curry,dinner,560.0,30.0,78.0,14.0,4.0,3.0,700.0,80.0,Sri Lankan - Rice Flour & Curry,1,"Curated regional (Sri Lankan, per serving)",string_hoppers_with_chicken_curry__dinner,5.357142857142857,0.7142857142857143,0.21505376344086022,0.5591397849462365,0.22580645161290322
Sweet & Sour Chicken (1 cup),dinner,380.0,18.0,45.0,15.0,3.0,25.0,750.0,50.0,Meal/Processed,1,Kaggle Daily Food & Nutrition,sweet_sour_chicken_1_cup__dinner,4.736842105263158,0.7894736842105263,0.18604651162790697,0.46511627906976744,0.3488372093023256
Sweet Chili Sauce (2 tbsp),dinner,70.0,0.0,17.0,0.0,0.5,16.0,450.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,sweet_chili_sauce_2_tbsp__dinner,0.0,0.7142857142857143,0.0,1.0,0.0
Sweet Potato (1 medium baked),dinner,103.0,2.3,23.6,0.2,3.8,7.4,41.0,0.0,Vegetable,2,Kaggle Daily Food & Nutrition,sweet_potato_1_medium_baked__dinner,2.233009708737864,3.6893203883495143,0.0872865275142315,0.8956356736242884,0.017077798861480076
T-Bone Steak (6oz),dinner,460.0,38.0,0.0,33.0,0.0,0.0,110.0,105.0,Protein/Meat,1,Kaggle Daily Food & Nutrition,t_bone_steak_6oz__dinner,8.26086956521739,0.0,0.33853006681514475,0.0,0.6614699331848553
Tagliatelle al Ragù (Bolognese),dinner,550.0,28.0,65.0,20.0,7.0,8.0,850.0,70.0,Meal/Pasta,1,Kaggle Daily Food & Nutrition,tagliatelle_al_rag_bolognese__dinner,5.090909090909091,1.2727272727272727,0.2028985507246377,0.47101449275362317,0.32608695652173914
Tartar Sauce (2 tbsp),dinner,60.0,0.2,2.0,5.5,0.1,1.5,180.0,5.0,Condiment,1,Kaggle Daily Food & Nutrition,tartar_sauce_2_tbsp__dinner,0.33333333333333337,0.16666666666666669,0.013722126929674101,0.137221269296741,0.8490566037735849
Tilapia (4oz baked),dinner,110.0,22.0,0.0,2.5,0.0,0.0,50.0,50.0,Protein/Fish,2,Kaggle Daily Food & Nutrition,tilapia_4oz_baked__dinner,20.0,0.0,0.7963800904977375,0.0,0.20361990950226244
Tofu Stir-fry,dinner,400.0,18.0,30.0,22.0,7.0,9.0,500.0,0.0,Meal/Vegetarian,1,Kaggle Daily Food & Nutrition,tofu_stir_fry__dinner,4.5,1.7500000000000002,0.18461538461538463,0.3076923076923077,0.5076923076923077
Tomato Sauce (1/2 cup),dinner,40.0,1.5,7.0,1.0,2.0,4.0,350.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,tomato_sauce_1_2_cup__dinner,3.75,5.0,0.13953488372093023,0.6511627906976745,0.20930232558139536
Trofie Pasta (1 cup cooked),dinner,210.0,7.0,43.0,1.0,2.0,1.0,5.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,trofie_pasta_1_cup_cooked__dinner,3.3333333333333335,0.9523809523809524,0.1339712918660287,0.8229665071770335,0.0430622009569378
Turkey Chili (1 cup),dinner,250.0,22.0,25.0,7.0,8.0,6.0,750.0,50.0,Meal/Meat,1,Kaggle Daily Food & Nutrition,turkey_chili_1_cup__dinner,8.799999999999999,3.2,0.350597609561753,0.398406374501992,0.250996015936255
Tzatziki Sauce (2 tbsp),dinner,30.0,1.5,2.0,2.0,0.0,1.5,100.0,5.0,Condiment/Dairy,3,Kaggle Daily Food & Nutrition,tzatziki_sauce_2_tbsp__dinner,5.0,0.0,0.1875,0.25,0.5625
Veal Parmesan (1 serving),dinner,550.0,40.0,30.0,30.0,4.0,7.0,1100.0,130.0,Meal/Meat,1,Kaggle Daily Food & Nutrition,veal_parmesan_1_serving__dinner,7.2727272727272725,0.7272727272727273,0.2909090909090909,0.21818181818181817,0.4909090909090909
Vegetable Rice and Curry,dinner,540.0,14.0,92.0,13.0,10.0,5.0,620.0,0.0,Sri Lankan - Rice & Curry,1,"Curated regional (Sri Lankan, per serving)",vegetable_rice_and_curry__dinner,2.5925925925925926,1.8518518518518516,0.10351201478743069,0.6802218114602587,0.21626617375231053
White Beans (Tuscan style 1/2 cup),dinner,150.0,8.0,20.0,4.0,7.0,2.0,350.0,0.0,Legume,1,Kaggle Daily Food & Nutrition,white_beans_tuscan_style_1_2_cup__dinner,5.333333333333334,4.666666666666667,0.21621621621621623,0.5405405405405406,0.24324324324324326
White Rice (1 cup cooked),dinner,204.0,4.2,44.5,0.4,0.6,0.1,2.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,white_rice_1_cup_cooked__dinner,2.0588235294117645,0.29411764705882354,0.08467741935483872,0.8971774193548386,0.018145161290322582
White Wine (5 oz glass),dinner,121.0,0.1,3.8,0.0,0.0,1.4,5.0,0.0,Beverage,1,Kaggle Daily Food & Nutrition,white_wine_5_oz_glass__dinner,0.08264462809917356,0.0,0.025641025641025644,0.9743589743589743,0.0
White Wine Sauce (1/4 cup),dinner,80.0,1.0,4.0,6.0,0.5,2.0,300.0,5.0,Condiment,2,Kaggle Daily Food & Nutrition,white_wine_sauce_1_4_cup__dinner,1.25,0.625,0.05405405405405406,0.21621621621621623,0.7297297297297297
Wild Rice (1 cup cooked),dinner,166.0,6.5,35.0,0.6,3.0,1.2,5.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,wild_rice_1_cup_cooked__dinner,3.91566265060241,1.8072289156626504,0.15169194865810967,0.8168028004667445,0.03150525087514585
Yellow Rice (1 cup),dinner,230.0,4.0,50.0,1.0,2.0,1.0,300.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,yellow_rice_1_cup__dinner,1.7391304347826086,0.8695652173913043,0.07111111111111111,0.8888888888888888,0.04
BBQ Sauce (2 tbsp),lunch,60.0,0.5,15.0,0.0,0.5,12.0,350.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,bbq_sauce_2_tbsp__lunch,0.8333333333333334,0.8333333333333334,0.03225806451612903,0.967741935483871,0.0
Baguette (slice),lunch,70.0,2.5,14.0,0.5,0.6,0.5,150.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,baguette_slice__lunch,3.571428571428571,0.8571428571428572,0.14184397163120568,0.7943262411347518,0.06382978723404255
Balsamic Glaze (1 tbsp),lunch,40.0,0.0,9.0,0.0,0.0,8.0,10.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,balsamic_glaze_1_tbsp__lunch,0.0,0.0,0.0,1.0,0.0
Balsamic Vinaigrette (2 tbsp),lunch,90.0,0.0,3.0,9.0,0.0,2.5,300.0,0.0,Condiment,1,Kaggle Daily Food & Nutrition,balsamic_vinaigrette_2_tbsp__lunch,0.0,0.0,0.0,0.12903225806451613,0.8709677419354839
